created_at,entry_id,Temperature,Humidity
2021-11-09 17:03:39 UTC,13533,33,57
2021-11-09 17:03:55 UTC,13534,37,57
2021-11-09 17:04:12 UTC,13535,33,57
2021-11-09 17:04:29 UTC,13536,27,57
2021-11-09 17:04:45 UTC,13537,35,67
2021-11-09 17:05:02 UTC,13538,36,68
2021-11-09 17:05:19 UTC,13539,37,70
2021-11-09 17:05:35 UTC,13540,38,71
2021-11-09 17:05:52 UTC,13541,34,72
2021-11-09 17:06:09 UTC,13542,24,74
2021-11-09 17:06:25 UTC,13543,25,71
2021-11-09 17:06:42 UTC,13544,26,70
2021-11-09 17:06:59 UTC,13545,27,78
2021-11-09 17:07:16 UTC,13546,28,65
2021-11-09 17:07:40 UTC,13547,29,68
2021-11-09 17:07:57 UTC,13548,30,61
2021-11-09 17:08:13 UTC,13549,31,67
2021-11-09 17:08:30 UTC,13550,32,65
2021-11-09 17:08:46 UTC,13551,33,68
2021-11-09 17:09:03 UTC,13552,34,70
2021-11-09 17:09:29 UTC,13553,35,71
2021-11-09 17:09:46 UTC,13554,36,64
2021-11-09 17:10:03 UTC,13555,37,74
2021-11-09 17:10:19 UTC,13556,38,74
2021-11-09 17:10:43 UTC,13557,39,74
2021-11-09 17:11:00 UTC,13558,34,74
2021-11-09 17:11:26 UTC,13559,33,70
2021-11-09 17:11:42 UTC,13560,36,71
2021-11-09 17:11:59 UTC,13561,37,71
2021-11-09 17:12:18 UTC,13562,34,71
2021-11-09 17:12:34 UTC,13563,33,73
2021-11-09 17:12:51 UTC,13564,29,67
2021-11-09 17:13:07 UTC,13565,31,67
2021-11-09 17:13:31 UTC,13566,32,67
2021-11-09 17:13:48 UTC,13567,33,66
2021-11-09 17:14:05 UTC,13568,33,66
2021-11-09 17:14:21 UTC,13569,34,65
2021-11-09 17:14:43 UTC,13570,36,65
2021-11-09 17:14:59 UTC,13571,37,64
2021-11-09 17:15:16 UTC,13572,35,58
2021-11-09 17:15:33 UTC,13573,35,65
2021-11-09 17:15:49 UTC,13574,35,66
2021-11-09 17:16:08 UTC,13575,35,66
2021-11-09 17:16:26 UTC,13576,35,66
2021-11-09 17:16:43 UTC,13577,36,65
2021-11-09 17:17:00 UTC,13578,37,65
2021-11-09 17:17:16 UTC,13579,34,67
2021-11-09 17:17:32 UTC,13580,36,58
2021-11-09 17:17:49 UTC,13581,35,66
2021-11-09 17:18:05 UTC,13582,34,66
2021-11-09 17:18:24 UTC,13583,37,66
2021-11-09 17:18:41 UTC,13584,33,66
2021-11-09 17:19:02 UTC,13585,33,66
2021-11-09 17:19:19 UTC,13586,33,71
2021-11-09 17:19:35 UTC,13587,35,71
2021-11-09 17:19:52 UTC,13588,36,72
2021-11-09 17:20:08 UTC,13589,34,76
2021-11-09 17:20:27 UTC,13590,37,71
2021-11-09 17:20:47 UTC,13591,38,72
2021-11-09 17:21:03 UTC,13592,35,76
2021-11-09 17:21:19 UTC,13593,33,71
2021-11-09 17:21:36 UTC,13594,36,72
2021-11-09 17:21:53 UTC,13595,34,76
2021-11-09 17:22:12 UTC,13596,35,71
2021-11-09 17:22:28 UTC,13597,37,72
2021-11-09 17:22:45 UTC,13598,38,76
2021-11-09 17:23:01 UTC,13599,39,70
2021-11-09 17:23:18 UTC,13600,36,71
2021-11-09 17:23:34 UTC,13601,37,72
2021-11-09 17:24:01 UTC,13602,39,69
2021-11-09 17:24:17 UTC,13603,40,69
2021-11-09 17:24:33 UTC,13604,35,69
2021-11-09 17:24:55 UTC,13605,35,69
2021-11-09 17:25:11 UTC,13606,35,66
2021-11-09 17:25:28 UTC,13607,38,67
2021-11-09 17:25:47 UTC,13608,35,68
2021-11-09 17:26:03 UTC,13609,38,68
2021-11-09 17:26:22 UTC,13610,35,6
2021-11-09 17:26:39 UTC,13611,36,66
2021-11-09 17:26:55 UTC,13612,39,66
2021-11-09 17:27:14 UTC,13613,33,69
2021-11-09 17:27:31 UTC,13614,33,63
2021-11-09 17:27:55 UTC,13615,25,67
2021-11-09 17:28:14 UTC,13616,25,64
2021-11-09 17:28:35 UTC,13617,36,65
2021-11-09 17:28:52 UTC,13618,33,61
2021-11-09 17:29:08 UTC,13619,33,62
2021-11-09 17:29:25 UTC,13620,36,63
2021-11-09 17:29:46 UTC,13621,35,69
2021-11-09 17:30:02 UTC,13622,32,68
2021-11-09 17:30:26 UTC,13623,36,65
2021-11-09 17:30:45 UTC,13624,39,64
2021-11-09 17:31:05 UTC,13625,38,67
2021-11-09 17:31:22 UTC,13626,34,67
2021-11-09 17:31:38 UTC,13627,37,68
2021-11-09 17:31:54 UTC,13628,34,65
2021-11-09 17:32:11 UTC,13629,36,71
2021-11-09 17:32:30 UTC,13630,35,60
2021-11-09 17:32:46 UTC,13631,34,62
2021-11-09 17:33:05 UTC,13632,34,65
